,id,example,positive,label
86,ss86,Always a good time ! The food was on point as always .. They can cook a Steak like no other ! Sometimes better than the keg .,0,products
87,ss87,I ' ve been using this Discount Tire location for many years and for my last 3 vehicles .,1,price
88,ss88,"However , once our dinner came I thought the food was average at best .",0,products
89,ss89,"There 's nothing striking about the environment or decor here , but do not leave without trying the dried , sautéed green beans",0,environment
90,ss90,"The staff is very kind and knowledgeable , and they remember my pup 's name when I bring him in .",0,service
91,ss91,"I was looking for golf shoes , and found some that felt good and fit well but had no price .",1,price
92,ss92,The staff and service was really good . I highly recommend this place .,0,service
93,ss93,"Also , the smell of the restaurant was very bothersome .",0,environment
94,ss94,Staff is nice and would help to fulfill your requests .,0,service
95,ss95,"The restaurant is inside an old style passenger train , which gives it more character .",0,environment
96,ss96,I went by around 1:30p on a Friday and there were still plenty of tables available even though they were busy and had nice outdoor seating as well .,0,environment
97,ss97,"When we were about to pay , the server handed us a bill and I reminded her that we were using the 1/2 off Scoutmob deal , so she took the bill back and came back with another that was pretty much the same except $ 8 difference ... REALLY ? ! ?",1,price
98,ss98,The server ( Scottie ) I think was trying to hard to be funny and came across as rude and careless in my opinion .,0,service
99,ss99,This is the best sushi in town,0,products
100,ss100,Friendly staff .,0,service
101,ss101,The waiting staff were very nice .,0,service
102,ss102,All the instructors are friendly and helpful .,0,service
103,ss103,Some of the items they sale here are a bit over priced,1,price
104,ss104,Me : Then why did you tell me they were on discount ?,1,price
105,ss105,Our waitress and the Manager are what make good establishments exceptional .,0,service
106,ss106,Perfect little spot with healthy options and everything was so delicious .,0,environment
107,ss107,Only downside : three entrees served simultaneously but fourth ( beet/ goat cheese ravioli ) was 2 - 3 minutes later which allowed my accompaniments ( delicious creamy polenta ) to cool off to much .,0,service
108,ss108,We arrived at 6 pm and the employees told us the order was n't ready .,0,service
109,ss109,I tried to contact them through the app and website and still have n't heard back .,0,service
110,ss110,The wait staff is attentive and knowledge,0,service
111,ss111,The girl at check in that took my info just started typing away and did not explain anything to me .,0,service
112,ss112,"Friendly w / great customer service , reasonable prices , and a chill atmosphere",0,service
113,ss113,The service is excellent and the family feel of this place is so great .,0,service
114,ss114,Prices were reasonable and mission accomplished !,1,price
115,ss115,They should be shut down for terrible service .,0,service
116,ss116,The main squeeze was definitely the value and quality of our meal .,0,products
117,ss117,"For the amenities and $ paid , it 's small .",1,price
118,ss118,"He ordered the tires , gave me a great price and it was done that same day .",1,price
119,ss119,The ladies that work here are all so friendly !,0,service
120,ss120,Lots of free parking in the rear of the restaurant .,0,environment
121,ss121,The BBQ is wonderful and they have maybe the best collard greens I have had in the US .,0,products
122,ss122,It was clear that she was more concerned with being right than being helpful .,0,service
123,ss123,"This camp has a loving , nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel .",0,environment
124,ss124,Employees have horrible attitudes !,0,service
125,ss125,the Pork Belly rice is also really good,0,products
126,ss126,My only issue was the cleanliness of the restaurant .,0,environment
127,ss127,"they are kind , polite , and take the time to explain everything",0,service
128,ss128,but they are more expensive than what I ' ve paid in the past and what another shop charges,1,price
129,ss129,"Rodney and his crew gave us a great price and did the work so quick , literally , it was done before we knew it",0,service
130,ss130,"I assumed because they are located next to Intel ,  they figured they could charge a ridiculous price for a style .",1,price
131,ss131,"For the money we paid ( over 80 $ for 1 appetizer , 2 dinners , 2 drinks ) we could not eat much",1,price
132,ss132,This is the worst place for a hairstyle .,0,service
133,ss133,Attentive and friendly service .,0,service
135,ss135,Give me a good waiter and decent food and it 's hard to not impress .,0,service
136,ss136,Poor quality sirloin covered in a thick brown sauce .,0,products
137,ss137,Only complaint is they 're expensive ( $ 6.25 for 8) and the sizing is not consistent .,1,price
138,ss138,"Gorgeous , gorgeous , gorgeous interior design , with small outdoor area .",0,environment
139,ss139,This particular location has a good check in deal .,1,price
140,ss140,Pepe is usually there also greeting his customers with a smile and making sure everyone is taken care of .,0,other
141,ss141,"needless to say whomever told me this , is a genius .",0,none
142,ss142,"Even though the stuff is probably overpriced , you ca n't help but just want to buy up the whole store and bring it home with you .",1,price
143,ss143,Reception hung up on me multiple times and would not listen .,0,service
144,ss144,My phone screen was replaced in 30 minutes and looks great .,0,service
145,ss145,"Always helpful , always wonderful , always available .",0,service
146,ss146,My manicure was sloppy and uneven .,0,products
147,ss147,all the staff there is amazing .,0,service
148,ss148,Pricing reflects the demand -- it 's not CHEAP indian food ( Though not very expensive either ) .,1,price
149,ss149,the waiter was friendly and helpful,0,service
150,ss150,The store was clean and well organized,0,environment
151,ss151,"Booking was easy , the staff was friendly , and they communicated very well .",0,service
152,ss152,I purchased a Gibeon Meteorite and black zirconium wedding band from Rings Unique for approximately $ 1200 .,1,price
153,ss153,"The food was n't half bad either , but I had the bar food staples .",0,products
154,ss154,Rate increases totaling 36 % over 3 months resulted in my canceling my account here .,1,price
155,ss155,She also refused to provide the name of her boss in order for me to complain about the experience .,0,service
156,ss156,Paid over $ 80 for a king crab leg with an upgraded side and two beers .,1,price
157,ss157,"Dear Hyatt Place , if you are going to charge $ 75 for a pet fee , then tell me that my pet is n't allowed through the front door and lobby",1,price
158,ss158,Prices here are very reasonable !,1,price
159,ss159,Slowest coffee shop I ' ve been to in boston . Took 15 minutes for me to get a breakfast sandwich .,0,service
160,ss160,I like their outdoor seating in the front with sun .,0,environment
161,ss161,There is usually no wait for lunch but it can take really long to get a table at night ( they don´t take reservations ) .,0,service
162,ss162,The owners are the nicest people and the service is excellent .,0,service
163,ss163,They were clearly not equipped for a group our size,0,environment
164,ss164,Only issue I have with this place is that they ' ve raised their prices twice in the last year and now it 's $ 2.10 for almost every plate which I think is very high for what you get,1,price
165,ss165,"Prices vary so you have to shop around , but every once in a while you can find a really awesome deal .",1,price
166,ss166,They have coupons discount for first second and third time customers through their website,1,price
167,ss167,"My parents told me a horror story about their friends ' wedding photographer , who insisted on always getting the shot he wanted .",0,service
168,ss168,This place is only worth your time if you are looking for discount designer jeans,1,price
169,ss169,The waiter was also really nice and the atmosphere is beautiful .,0,service
170,ss170,Jamaal is a great instructor and provides personalised and hands - on corrections to ensure you get the best workout .,0,service
171,ss171,The server was cold and seemingly uninterested in making our experience pleasant,0,service
172,ss172,Extremely quick response to an appointment request and was able to groom our dog the very next day .,0,service
173,ss173,The decor was cute and the service was quick .,0,service
174,ss174,"The woman told me that her manager said yes they have the calls recorded , but he will not listen to them , and that she was ' proceeding to cancel this call ' ..",0,service
175,ss175,"While he checked on the price ( which seemed to take much more effort than it should have ) , I found the shoes on - line for almost half the price .",1,price
176,ss176,"Service exceptional . Continuously filling waters , etc .",0,service
177,ss177,You get a much much larger portion for the same price at SFU ( the bowl is over - flowing ) .,1,price
178,ss178,I still believe he did n't want to help to sit us together and used poor judgement setting up the tables,0,service
179,ss179,"The staff here were very pleasant even through the cancellation process , and seemed to realize that someone 's ending use of a unit did n't have to mean permanent loss of a customer .",0,service
180,ss180,He was also slow on refilling our waters throughout the meal .,0,service
181,ss181,Adult tickets are $ 13.50 but they have military discount .,1,price
182,ss182,disappointed in the fact they do n't tell you the price,1,price
183,ss183,"Great customer service , great food that is fresh and cooked to order .",0,service
184,ss184,Sushi menu was pretty standard and the flavor was nothing special .,0,products
185,ss185,The attention to customers I observed to be very good and free computer use is available in the lobby .,0,service
186,ss186,Management is drippy,0,service
187,ss187,"The place was beautiful , immaculately clean , comfortable bedding ( lovely sheets ) and breakfast was delicious .",0,environment
188,ss188,"We never get utensils , and it takes a great deal of effort to flag anyone down for refills or to order food",0,service
189,ss189,"It is a surreal experience and profound in that you live for a few hours as a blind person would , being served by a blind person .",0,service
190,ss190,Appointment was quick and the staff was incredibly friendly .,0,service
191,ss191,There was a nice beer and cocktail list to choose from as well .,0,products
192,ss192,Today we waited over ten minutes behind one car in the drive thru for their single order,0,service
193,ss193,"Everyone is kind and professional , with no pretense .",0,service
194,ss194,The flavors were n't the best and the froyo itself was watery .,0,products
195,ss195,"They do n't fill up your ice cream because they say they leave room so you can take your cap off , what about the big hole in the center of the lid ?",0,products
196,ss196,They have an awesome return policy which makes me confident about the stuff I buy there .,0,service
197,ss197,The line was still worth the wait,0,other
198,ss198,"The rooms are nice , spacious and cozy . The huge 42 inch flat screen TV mounted to the wall made it covienent to watch TV from the cozy sectional or while in bed",0,environment
199,ss199,there is no sense of urgency of your time at all,0,service
200,ss200,I ordered mango & taro moochi in coconut milk for $ 6,1,price
201,ss201,Nail Time lowered their prices,1,price
202,ss202,"Service was awful , bathrooms were filthy and Wellesley 's stupid blue law about requiring every patron to order food while drinking is absurb .",0,environment
203,ss203,Fabulous service and awesome food,0,service
204,ss204,Very very friendly and they made an effort with us .,0,service
205,ss205,The manager that did my nails has the worst personality .,0,service
206,ss206,Good food with great variety .,0,products
207,ss207,This man is unstable and incompetent as a manager,0,service
208,ss208,the lines may be long at times,0,environment
209,ss209,Our order was wrong as well as missing items .,0,other
210,ss210,The portions are perfectly sized to fill you up without any leftovers .,0,products
211,ss211,"Bubble teas are not so good ; they are cheap , so they are probably just right for the price .",1,price
212,ss212,Large selection of dishes for under $ 9 and there is tons of food .,1,price
