id,example,label,positive
ss316,"All you can say is yuuummmmmmmmyy, the line wasn't bad given we were there around 3pm",other,0
ss365,The flavors weren't the best and the froyo itself was watery.,other,0
ss315,The ladies that work here are all so friendly!,other,0
ss236,"The ambience, service, and food was pretty cool here.",other,0
ss312,"The restaurant is inside an old style passenger train, which gives it more character.",other,0
ss153,"This camp has a loving, nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel.",other,0
ss364,"The restaurant is inside an old style passenger train, which gives it more character.",other,0
ss445,Attentive and friendly service.,other,0
ss162,The main squeeze was definitely the value and quality of our meal.,other,0
ss462,"Delicious food, friendly people, quick.",other,0
ss287,The decor was cute and the service was quick.,other,0
ss251,"However, once our dinner came I thought the food was average at best.",other,0
ss253,Poor quality sirloin covered in a thick brown sauce.,other,0
ss263,"Great customer service, great food that is fresh and cooked to order.",other,0
ss315,"The food is awesome, fresh, delicious and the best part is, it's still healthy.",other,0
ss239,Pepe is usually there also greeting his customers with a smile and making sure everyone is taken care of.,other,0
ss316,all the staff there is amazing.,other,0
ss490,"It is a surreal experience and profound in that you live for a few hours as a blind person would, being served by a blind person.",other,0
ss239,Our order was wrong as well as missing items.,other,0
ss412,"They don't fill up your ice cream because they say they leave room so you can take your cap off, what about the big hole in the center of the lid?",other,0
ss310,Employees have horrible attitudes!,other,0
ss263,"The staff is very kind and knowledgeable, and they remember my pup's name when I bring him in.",other,0
ss153,They have an awesome return policy which makes me confident about the stuff I buy there.,other,0
ss303,My only issue was the cleanliness of the restaurant.,other,0
ss414,"Also, the smell of the restaurant was very bothersome.",other,0
ss293,"Great chicken, but go during a weekday lunch time to avoid the crowds",other,0
ss254,"The food wasn't half bad either, but I had the bar food staples.",other,0
ss373,Jamaal is a great instructor and provides personalised and hands-on corrections to ensure you get the best workout.,other,0
ss471,The girl at check in that took my info just started typing away and did not explain anything to me.,other,0
ss477,"We never get utensils, and it takes a great deal of effort to flag anyone down for refills or to order food",other,0
ss473,"they are kind, polite, and take the time to explain everything",other,0
ss158,This is the worst place for a hairstyle.,other,0
ss414,I like their outdoor seating in the front with sun.,other,0
ss324,No appointment on a Saturday afternoon and they managed to get me in and out in an hour.,other,0
ss333,"The only negatives are that the inside is really small, so seating is incredibly cramped and could not accommodate groups",other,0
ss277,They should be shut down for terrible service.,other,0
ss169,The service is excellent and the family feel of this place is so great.,other,0
ss404,"The decor looks a little old fashioned, but that actually adds to the feel and I like it.",other,0
ss184,I went by around 1:30p on a Friday and there were still plenty of tables available even though they were busy and had nice outdoor seating as well.,other,0
ss217,Their service is typically slow and unfriendly,other,0
ss264,Environment was lively and diverse.,other,0
ss291,The owners are the nicest people and the service is excellent.,other,0
ss205,Our waitress and the Manager are what make good establishments exceptional.,other,0
ss434,"This place is a treasure, and the atmosphere is amazing as well.",other,0
ss358,Reception hung up on me multiple times and would not listen.,other,0
ss243,She also refused to provide the name of her boss in order for me to complain about the experience.,other,0
ss119,It was clear that she was more concerned with being right than being helpful.,other,0
ss403,I felt like I was at a fine dining establishment.,other,0
ss301,"Gorgeous, gorgeous, gorgeous interior design, with small outdoor area.",other,0
ss432,They are open Friday-Sunday.,other,0
ss210,The line was still worth the wait,other,0
ss235,Had a really awkward time ordering a beer because nothing on the menu was stocked.,other,0
ss491,The portions are perfectly sized to fill you up without any leftovers.,other,0
ss133,The dipping ramen was slightly too salty.,other,0
